PCNA_I	fbe5d6
1510	25977.68895
1515	23971.58638
1520	24244.3613
1525	23623.56097
1530	23163.7512
1535	23960.92087
1540	24998.79467
1545	25369.07223
1550	24546.98057
1555	23495.67507
1560	22638.11347
1565	24390.20288
1570	25920.3964
1575	21777.37967
1580	22952.48653
1585	22473.80252
1590	23273.10767
1595	22298.58692
1600	24929.75087
1605	23894.0117
1610	21967.87118
1615	21723.44688
1620	21983.4633
1625	22325.28825
1630	21887.37817
1635	20084.48652
1640	20679.25078
1645	21834.95357
1650	21539.7293
1655	22626.1925
1660	22675.82683
1665	22026.58918
1670	20142.44632
1675	21784.00995
1680	22497.37585
1685	22716.65233
1690	22417.76627
1695	20750.79953
1700	20696.84947
1705	20534.64085
1710	22583.63952
1715	21464.06457
1720	17112.34393
1725	20682.97435
1730	22745.35995
1735	21021.00632
1740	21842.36443
1745	20017.97685
1750	20004.88685
1755	22855.33833
1760	20055.71232
1765	20848.26195
1770	19829.21112
1775	21266.92605
1780	18655.90682
1785	20367.85442
1790	19926.0094
1795	21007.22555
1800	20992.99712
1805	21006.0789
1810	19323.21065
1815	18789.8858
1820	18503.5973
1825	22910.78043
1830	19095.13638
1835	18598.32413
1840	19973.23002
1845	18414.4374
1850	18800.64963
1855	21167.66135
1860	19591.9815
1865	20668.16622
1870	17278.76997
1875	20590.37762
1880	18199.13467
1885	19689.58785
1890	20142.67667
1895	19800.99055
1900	18067.33537
1905	19600.27297
1910	19529.92725
1915	19592.09993
1920	17039.83922
1925	19969.63792
1930	18790.17905
1935	17120.86292
1940	17095.05777
1945	18366.97368
1950	16890.03578
1955	18232.06027
1960	16901.67965
1965	17869.03575
1970	18837.08658
1975	18288.90373
1980	15992.85483
1985	18455.18555
1990	16759.21597
1995	17508.8287
2000	17852.70725
2005	15188.34967
2010	16552.38207
2015	16712.86093
2020	17564.87203
2025	15473.9117
2030	17548.36673
2035	17363.56143
2040	16568.63775
2045	18831.2655
2050	17719.82137
2055	16936.14432
2060	18899.43352
2065	17132.01917
2070	17366.70077
2075	17403.05102
2080	18596.66947
2085	17260.73608
2090	14708.6397
2095	15072.55445
2100	17547.63885
2105	17906.0218
2110	16983.37542
2115	16613.92207
2120	16235.88598
2125	15914.28962
2130	20006.41147
2135	17127.56942
2140	17357.46552
2145	16986.15832
2150	14120.72247
2155	14643.08062
2160	16703.26783
2165	18464.65483
2170	17006.75552
2175	14201.81388
2180	16694.97382
2185	16486.34698
2190	15788.43862
2195	17044.05692
2200	15205.49275
2205	14519.47078
2210	17232.23842
2215	16363.6067
2220	17909.7584
2225	15953.33578
2230	16991.65583
2235	14572.75417
2240	13805.60197
2245	18113.87428
2250	16259.97725
2255	15380.51002
2260	13689.53673
2265	16325.7358
2270	17289.08132
2275	13945.9041
2280	13833.65168
2285	13778.58302
2290	17529.95403
2295	17146.29492
2300	14670.79373
2305	16811.75078
2310	13659.942
2315	14871.73203
2320	16373.05927
2325	15859.26062
2330	13907.65835
2335	16440.14523
2340	14995.03927
2345	15187.8731
2350	14586.12977
2355	14018.26092
2360	14326.70467
2365	11988.8301
2370	13954.91892
2375	13927.98355
2380	15739.19812
2385	16941.63702
2390	14301.87163
2395	13461.56305
2400	15747.40883
2405	14785.62647
2410	12888.82568
2415	14148.8382
2420	15397.01305
2425	14418.24995
2430	13854.50643
2435	13521.54642
2440	14166.2309
2445	14693.46777
2450	13402.67987
2455	13761.74537
2460	16320.935
2465	16774.07312
2470	13960.65103
2475	14620.72052
2480	12282.08067
2485	13968.14463
2490	12484.19112
2495	12788.22648
2500	14653.67813
2505	12870.41355
2510	13878.60563
2515	13612.82678
2520	14240.97537
2525	16175.55383
2530	16218.00963
2535	12272.02743
2540	14289.16385
2545	14306.03833
2550	13779.37522
2555	14720.42835
2560	13765.73612
2565	13718.60135
2570	13187.55337
2575	13398.3545
2580	12968.46105
2585	13018.22317
2590	14291.42542
2595	13714.02863
2600	13265.52812
2605	13839.3107
2610	11839.05075
2615	13098.88788
2620	13386.2743
2625	13418.84658
2630	13729.75647
2635	13058.64152
2640	12316.49037
2645	12652.48857
2650	12177.07592
2655	12848.21013
2660	14029.84245
2665	14476.72145
2670	11491.9235
2675	10711.08318
2680	12508.99922
2685	10876.22317
2690	13790.45412
2695	12299.74395
2700	12108.33472
2705	13127.53912
2710	12828.2289
2715	11894.73425
2720	11744.31485
2725	13616.00125
2730	12820.49078
2735	11426.77922
2740	12485.82453
2745	11563.36345
2750	12563.29467
2755	10993.0483
2760	10692.64158
2765	10353.38477
2770	10738.11687
2775	12078.63883
2780	13612.13233
2785	11744.22588
2790	14711.53197
2795	11319.31598
2800	11183.06892
2805	11738.44645
2810	12048.55535
2815	12803.28253
2820	11616.30542
2825	12726.72502
2830	11397.1944
2835	10447.89428
2840	11309.94558
2845	12219.79975
2850	10953.9823
2855	11649.97817
2860	12098.0517
2865	12733.30147
2870	10900.19232
2875	12675.63152
2880	12236.02767
2885	10552.75255
2890	10455.43718
2895	10382.73838
2900	10357.30128
2905	11340.2138
2910	11405.4428
2915	11273.33892
2920	11872.56313
2925	12288.75458
2930	11871.70917
2935	10484.68172
2940	11095.26675
2945	10339.27675
2950	11054.51322
2955	9961.051117
2960	12227.56762
2965	10630.92478
2970	10139.04225
2975	10913.4577
2980	12628.01338
2985	10910.39062
2990	11315.7729
2995	11566.35743
3000	8895.802783
3005	10726.36732
3010	9386.046517
3015	11872.87055
