Ligase4	b7b5dc
665	461.4825
670	640.6446111
675	488.0549722
680	378.5865278
685	475.5433889
690	488.9081944
695	440.6056389
700	520.8169722
705	480.1280833
710	340.6743889
715	376.7231944
720	455.0163056
725	505.8521389
730	498.6540556
735	533.4308333
740	502.3695
745	315.1050833
750	388.2649722
755	488.8656389
760	326.8269444
765	415.1510556
770	426.7531389
775	467.8321111
780	396.8611667
785	349.9101944
790	389.5682222
795	306.9209167
800	374.1356944
805	239.3451944
810	351.6113611
815	296.0498333
820	260.4228333
825	350.5912222
830	307.6761389
835	322.9463889
840	281.2660833
845	405.3539444
850	221.328
855	213.5353333
860	378.3621389
865	299.5320278
870	338.8832222
875	215.3668056
880	190.8733056
885	254.2582222
890	345.9025556
895	319.8801111
900	173.2256944
905	242.8123611
910	288.7503889
915	273.7380833
920	341.5343611
925	326.6171944
930	264.70225
935	276.7648611
940	255.7890833
945	193.5255833
950	149.8995556
955	305.8034444
960	285.0040556
965	253.4694722
970	164.75075
975	215.6365556
980	185.8421944
985	159.4140556
990	245.5883611
995	229.1510278
1000	201.6007222
1005	243.3752222
1010	136.2222778
1015	152.392
1020	148.8389722
1025	132.3810833
1030	178.37025
1035	92.49716667
1040	193.5323056
1045	147.7199444
1050	156.8191944
1055	238.0202778
1060	157.7268056
1065	182.9623889
1070	60.04636111
1075	194.9391111
1080	210.7518056
1085	110.4725278
1090	169.9406667
1095	97.48697222
1100	169.0950833
1105	151.9823056
1110	128.1119444
1115	141.2817778
1120	64.76736111
1125	62.84444444
1130	156.91725
1135	101.6698333
1140	154.4220278
1145	41.91836111
1150	173.4936944
1155	118.3716944
1160	140.0416667
1165	123.1738056
1170	117.0140556
1175	61.12686111
1180	92.63980556
1185	147.6757778
1190	122.0739444
1195	74.68822222
1200	148.0771667
1205	29.09402778
1210	78.58125
1215	78.11341667
1220	84.78602778
1225	79.08775
1230	1.008361111
1235	123.7556667
1240	84.34108333
1245	112.6839167
1250	65.69997222
1255	78.41922222
1260	60.73991667
1265	64.86355556
1270	37.48566667
1275	183.0374444
1280	31.29002778
1285	78.05855556
1290	62.08844444
1295	132.0221667
1300	18.67338889
1305	102.1782222
1310	46.49436111
1315	112.41925
1320	77.16588889
1325	113.8951944
1330	72.97466667
1335	109.8768611
1340	68.29666667
1345	29.61833333
1350	24.57558333
1355	73.41413889
1360	1.066638889
1365	180.8591111
1370	80.2165
1375	117.0523333
1380	29.74133333
1385	47.47611111
1390	29.83675
1395	90.76955556
1400	99.47247222
1405	20.24125
1410	42.86058333
1415	78.67744444
1420	49.52791667
1425	87.10627778
1430	-52.78188889
1435	73.74769444
1440	-3.907555556
1445	-31.97955556
1450	14.16716667
1455	-5.445138889
1460	-7.246722222
1465	-2.77625
1470	0.211583333
1475	72.17386111
1480	62.98011111
1485	62.45525
1490	-41.43488889
1495	-4.866583333
1500	69.69369444
1505	25.61791667
1510	-4.598666667
1515	-31.75263889
1520	67.20313889
1525	-25.80575
1530	-51.60505556
1535	58.9435
1540	24.18669444
1545	26.51675
1550	-66.18083333
1555	48.888
1560	93.22708333
1565	-24.79563889
1570	58.95355556
1575	-44.85336111
1580	5.464777778
1585	-17.70375
1590	-41.39533333
1595	-0.855472222
1600	54.95188889
1605	48.49844444
1610	2.485388889
1615	-28.44038889
1620	100.2565278
1625	-16.72322222
1630	-11.91411111
1635	23.71772222
1640	10.05430556
1645	-0.94575
1650	107.9457778
1655	2.690083333
1660	-64.98980556
1665	28.18502778
1670	57.43147222
1675	89.77241667
1680	-24.84730556
1685	74.90313889
1690	-18.22191667
1695	-37.80041667
1700	20.14063889
1705	-41.3285
1710	-114.9285833
1715	-73.84963889
1720	-47.84405556
1725	-130.1433056
1730	-43.66919444
1735	-13.08813889
1740	8.814388889
1745	5.033388889
1750	92.68847222
1755	-32.71863889
1760	-19.18613889
1765	-1.963055556
1770	-77.42227778
1775	-83.94533333
1780	-40.00891667
1785	-3.594861111
1790	-30.96161111
1795	-23.53983333
1800	-70.22033333
1805	-50.02772222
1810	-18.28044444
1815	42.29194444
1820	-15.06341667
1825	70.70719444
1830	12.77238889
1835	-34.52758333
1840	-9.469638889
1845	-37.65672222
1850	-97.35602778
1855	16.07816667
1860	-16.61311111
1865	-173.9348333
1870	-19.57841667
1875	-31.66086111
1880	-8.142694444
1885	66.41052778
1890	2.959694444
1895	57.99541667
1900	76.84886111
1905	-22.44805556
1910	37.69733333
1915	29.76288889
1920	-14.34969444
1925	-65.92958333
1930	53.46363889
1935	61.98083333
1940	14.02413889
1945	23.79622222
1950	-59.09313889
1955	-40.15466667
1960	11.84733333
1965	-22.31302778
1970	-39.15083333
1975	-5.550222222
1980	-4.490555556
1985	-82.94686111
1990	48.89772222
1995	-6.910111111
2000	33.43633333
2005	49.59075
2010	-43.36105556
2015	4.577638889
2020	58.05019444
2025	-117.1096944
