PCNA	f4b183
875	46547.20765
880	46224.68093
885	45615.895
890	46108.96123
895	45600.23806
900	45151.19268
905	44819.85376
910	45054.03526
915	43900.17141
920	43936.36489
925	43554.21581
930	42434.32989
935	43046.79319
940	42666.79621
945	42353.14155
950	41762.77576
955	42326.39759
960	41555.40208
965	40987.11044
970	40862.93376
975	42117.63181
980	40182.02916
985	40414.98105
990	39444.44515
995	40044.60034
1000	39701.5362
1005	39106.36402
1010	40577.36865
1015	38640.67836
1020	39844.45816
1025	38992.31214
1030	39273.83362
1035	39042.1706
1040	39578.69668
1045	39048.63084
1050	38605.49485
1055	38873.87916
1060	38322.01235
1065	38880.25776
1070	38366.68216
1075	38127.80548
1080	37436.40585
1085	37008.06524
1090	37513.0582
1095	36721.87826
1100	37352.09642
1105	37296.25661
1110	36264.17599
1115	36540.04674
1120	36211.67356
1125	36620.35497
1130	35685.16567
1135	35932.46868
1140	35895.12063
1145	35064.71401
1150	35054.11918
1155	34517.85807
1160	34659.13834
1165	34280.5945
1170	34371.96868
1175	33189.50039
1180	33166.02705
1185	33456.11428
1190	32992.08358
1195	33787.02908
1200	32586.11614
1205	32895.26574
1210	31729.50709
1215	33161.08229
1220	33419.74608
1225	32570.43399
1230	33088.06068
1235	32375.16119
1240	31943.67776
1245	31049.61665
1250	32100.0957
1255	31755.72552
1260	31866.19984
1265	32043.0617
1270	31553.62651
1275	31261.80451
1280	30585.13586
1285	30448.67302
1290	30273.54569
1295	30781.4753
1300	30792.65645
1305	30599.93182
1310	29260.62531
1315	31029.53717
1320	30194.5853
1325	30543.12272
1330	29048.37063
1335	29274.90401
1340	28871.79552
1345	29458.46245
1350	29971.87644
1355	29897.61726
1360	30119.34956
1365	29419.19594
1370	28985.1664
1375	28879.86763
1380	29676.38433
1385	29213.40757
1390	29779.78754
1395	29570.04951
1400	29432.05325
1405	28495.79726
1410	28674.48756
1415	27903.92986
1420	27306.08496
1425	28738.44935
1430	27283.67453
1435	28335.90842
1440	28437.93776
1445	28259.23429
1450	27087.43297
1455	27149.52269
1460	27588.03397
1465	26490.23229
1470	27582.08214
1475	26752.19775
1480	26370.78964
1485	25844.01106
1490	26208.63195
1495	25943.63613
1500	26261.73931
1505	24626.43369
1510	26734.48174
1515	25379.73409
1520	25708.72641
1525	25274.55781
1530	27076.17052
1535	24798.61229
1540	25534.23658
1545	25424.2647
1550	25988.05542
1555	25252.43272
1560	25279.50203
1565	24554.2109
1570	25560.39817
1575	24159.72632
1580	24377.23057
1585	23426.57251
1590	24193.66882
1595	23440.14205
1600	22491.61808
1605	23196.54197
1610	23817.71666
1615	23041.81865
1620	22594.42227
1625	22943.17845
1630	22889.4058
1635	23158.21423
1640	23856.83442
1645	22132.79501
1650	22529.04706
1655	23299.8162
1660	22793.50166
1665	22701.47122
1670	21978.34753
1675	22657.22995
1680	22112.20104
1685	22182.29694
1690	22285.18106
1695	22032.57953
1700	22969.2211
1705	21879.39165
1710	21833.26664
1715	21717.26401
1720	21534.09963
1725	21160.04167
1730	20572.18727
1735	21198.35182
1740	20748.62514
1745	20746.32152
1750	21504.3246
1755	20560.90459
1760	20529.5482
1765	21323.95891
1770	20476.48949
1775	20249.7818
1780	21157.84926
1785	19586.50661
1790	19716.71286
1795	20278.806
1800	20322.0383
1805	19784.78387
1810	19620.41453
1815	19638.31996
1820	20041.3595
1825	19345.36498
1830	18970.41192
1835	19320.39387
1840	20159.91744
1845	18563.40164
1850	19501.20056
1855	19834.33934
1860	19916.26453
1865	19324.58401
1870	19077.03084
1875	20222.24883
