PCNA_I	fbe5d6
1025	17721.76553
1030	17476.9362
1035	16979.58845
1040	16329.26465
1045	16075.39968
1050	16666.91163
1055	16197.04509
1060	15977.10773
1065	16339.07917
1070	15999.65568
1075	16329.95903
1080	16567.91348
1085	16374.84915
1090	16794.07085
1095	16395.06251
1100	16054.7145
1105	15825.84117
1110	15818.84312
1115	15501.99421
1120	15742.1484
1125	15543.76555
1130	15316.6731
1135	15101.48788
1140	15284.29221
1145	15815.60228
1150	14544.63085
1155	15036.43221
1160	15257.58755
1165	15598.24028
1170	15528.69321
1175	15833.41042
1180	16355.28669
1185	14615.74958
1190	14961.44911
1195	15219.8064
1200	15418.62281
1205	15460.40853
1210	14625.11686
1215	15646.20181
1220	15344.42631
1225	14761.46848
1230	14470.02572
1235	14417.41525
1240	14965.90127
1245	14883.12572
1250	14608.19917
1255	15290.29817
1260	14468.07709
1265	15092.95565
1270	14902.71574
1275	14332.33514
1280	14705.7723
1285	14480.38346
1290	13896.09453
1295	14237.0223
1300	13679.43101
1305	13739.41006
1310	14033.13804
1315	13544.99735
1320	13845.25518
1325	13846.96842
1330	13411.92829
1335	13224.73315
1340	13659.69543
1345	13862.74563
1350	13321.02561
1355	13335.45117
1360	13343.59601
1365	13051.51923
1370	12752.87598
1375	12821.08281
1380	13304.57591
1385	13787.32782
1390	13375.12938
1395	12834.70108
1400	12538.55166
1405	12481.88337
1410	12486.94838
1415	12360.01568
1420	12326.13751
1425	12945.13372
1430	12730.29268
1435	12650.25668
1440	13069.65029
1445	13383.69547
1450	12673.70528
1455	12750.57524
1460	12141.61293
1465	12063.40698
1470	11715.09794
1475	12458.86076
1480	12285.15313
1485	11503.47075
1490	12519.1898
1495	12585.8917
1500	12006.02022
1505	12459.38132
1510	12402.34703
1515	12410.56631
1520	12385.98431
1525	12421.89717
1530	12041.2343
1535	12583.38803
1540	12306.65438
1545	11426.59505
1550	11792.71952
1555	11564.79591
1560	11687.41691
1565	11790.67768
1570	11944.14255
1575	12110.61626
1580	11559.39898
1585	11638.02278
1590	11525.05508
1595	11890.28563
1600	12211.18543
1605	11302.60923
1610	12023.69462
1615	11472.9486
1620	11998.43921
1625	12168.10204
1630	11503.33433
1635	11146.86062
1640	11714.99594
1645	11387.68205
1650	11222.10807
1655	11179.79082
1660	11536.31893
1665	11649.04798
1670	11223.88365
1675	10914.6987
1680	11128.79783
1685	10804.85525
1690	10920.63694
1695	10512.2752
1700	11092.6644
1705	11190.71545
1710	10746.60709
1715	11021.60943
1720	10819.59156
1725	10638.92916
1730	10587.7695
1735	11136.12058
1740	10970.63918
1745	11103.65328
1750	10830.55125
1755	11657.88373
1760	10805.85103
1765	11053.1105
1770	10465.32113
1775	10737.80803
1780	10923.41637
1785	10116.20672
1790	11592.83954
1795	10390.02501
1800	10682.84158
1805	10350.18983
1810	10340.2478
1815	10376.76515
1820	10315.08214
1825	9865.501342
1830	10469.3298
1835	10741.07628
1840	10334.8275
1845	10867.86788
1850	10137.25151
1855	10774.7525
1860	10701.8473
1865	9233.634504
1870	10806.85035
1875	10123.14378
1880	9343.587317
1885	9982.158033
1890	9662.740004
1895	9773.527588
1900	9754.550771
1905	9602.962692
