PCNA	f4b183
1130	23816.75236
1135	25208.14449
1140	23610.19418
1145	21597.32831
1150	24022.55305
1155	23292.30873
1160	21997.71182
1165	24785.78113
1170	22189.93817
1175	22674.61782
1180	22639.19178
1185	22745.48689
1190	22872.69005
1195	21568.32974
1200	22195.47887
1205	22839.39359
1210	20817.21351
1215	22409.55938
1220	21233.45377
1225	20681.53177
1230	20868.49744
1235	22546.90663
1240	22354.03688
1245	20628.00694
1250	21958.26822
1255	21611.97544
1260	21879.5646
1265	21754.87973
1270	22260.10698
1275	20261.38985
1280	21375.50446
1285	21317.46564
1290	21364.76046
1295	21154.16838
1300	19786.8592
1305	19382.67341
1310	20440.29
1315	18109.18184
1320	20190.52469
1325	21111.13256
1330	18610.0955
1335	19753.31363
1340	19438.11548
1345	19245.18346
1350	19501.2136
1355	18362.71183
1360	18655.85787
1365	18553.49155
1370	18759.21917
1375	20152.23889
1380	17391.25353
1385	18854.91937
1390	18383.94009
1395	19045.75025
1400	19523.93034
1405	18441.55096
1410	19445.76989
1415	17651.98155
1420	17767.9446
1425	19185.26876
1430	18200.51205
1435	17629.67542
1440	19466.41885
1445	17205.23348
1450	17820.49519
1455	17366.48927
1460	17289.33199
1465	19426.10809
1470	17527.53043
1475	18224.18112
1480	16426.05107
1485	18038.26993
1490	17370.76591
1495	18006.77465
1500	18130.62047
1505	16046.74445
1510	17563.3156
1515	16159.146
1520	17476.30878
1525	16104.97861
1530	17345.74551
1535	17079.46912
1540	16349.53309
1545	16477.12348
1550	18001.89647
1555	16903.41238
1560	17683.60547
1565	14687.10979
1570	17680.25614
1575	15822.72744
1580	16401.73273
1585	15007.90355
1590	15605.39961
1595	15796.07389
1600	16644.14685
1605	15561.29016
1610	16859.0342
1615	14680.96331
1620	14685.23341
1625	14961.65783
1630	14842.11072
1635	14647.50175
1640	14643.11967
1645	13824.25926
1650	15670.76412
1655	14846.1407
1660	13929.37729
1665	16334.7117
1670	15255.59093
1675	14899.75462
1680	15462.46851
1685	15750.68128
1690	14842.18428
1695	13853.46199
1700	13853.87833
1705	15318.85137
1710	13036.99956
1715	14904.18704
1720	14541.82566
1725	13576.92103
1730	14645.37381
1735	13890.22269
1740	13556.63104
1745	13870.00822
1750	13373.32511
1755	14188.81919
1760	15023.41441
1765	12582.20477
1770	13933.8138
1775	12344.60231
1780	14042.12995
1785	12931.22736
1790	13452.79929
1795	13384.59382
1800	13835.12847
1805	13476.82421
1810	14307.5011
1815	14041.82117
1820	11486.73572
1825	13291.21641
1830	12791.26374
1835	13988.79213
1840	12694.52737
1845	12628.80177
1850	13181.46458
1855	13757.6495
1860	12626.37682
1865	12849.69176
1870	11858.75784
1875	13320.25977
1880	13432.64938
1885	12632.00545
1890	11946.84759
1895	12899.08918
1900	11564.41542
1905	11432.47205
1910	14239.73223
1915	12323.71013
1920	14092.85566
1925	11853.23333
1930	12077.14981
1935	11730.49578
1940	11374.06348
1945	11736.3106
1950	11696.3279
1955	12148.37899
1960	12804.47045
1965	12653.26346
1970	11955.07624
1975	11750.10969
1980	12586.95594
1985	11614.46261
1990	11242.21295
1995	11687.85929
2000	11730.14205
2005	12018.36299
2010	12113.46148
2015	11752.26215
2020	13174.05781
2025	10628.4899
2030	12154.84896
2035	10001.63403
2040	11433.26042
2045	10989.71489
2050	11762.20879
2055	9870.07626
2060	11615.25131
2065	11491.30856
2070	10440.15001
2075	11309.76196
2080	11950.84798
2085	10061.82923
2090	11038.88772
2095	10480.11358
2100	10337.83306
2105	11389.74582
2110	8905.280981
2115	10716.07047
2120	9197.219202
2125	8754.220452
2130	11722.18065
2135	9419.502865
2140	10787.15303
2145	11043.42917
2150	10241.0398
2155	10775.05688
2160	10677.15992
2165	10706.5199
2170	11190.00873
2175	11450.23247
2180	9707.755192
2185	10871.62063
2190	10399.72728
2195	10818.41014
2200	9537.474038
2205	8406.077615
2210	9719.196846
2215	9106.140721
2220	9894.716942
2225	9004.858644
2230	8510.738115
2235	8074.187923
2240	8624.386712
2245	9629.45826
2250	8404.82975
2255	9331.714212
2260	10261.18267
2265	9353.01701
2270	10227.61225
2275	9061.801779
2280	9102.315394
2285	9459.975942
2290	9429.131077
2295	7957.014933
2300	8590.291413
2305	9856.887856
2310	8861.533933
2315	8758.197471
2320	8009.371337
2325	9237.221183
2330	8533.970087
2335	7758.067856
2340	8911.643558
2345	8006.545577
2350	8885.922885
2355	8248.431548
2360	9620.217452
2365	8681.290288
2370	8900.329731
2375	7766.531567
